PlateNumber,Colour,BuildType,MakeModel,YearOfManufacture,VehicleType,StolenDate,PoliceDistrict
HEK599,Silver,Toyota,HIACE,2007,Light Van,5/11/2025,Bay of Plenty
HEQ427,White,Mazda,BONGO,2009,Light Van,12/08/2025,Waikato
HES428,White,Nissan,VANETTE,2008,Light Van,29/11/2025,Canterbury
HES509,Grey,Mazda,PREMACY,2005,Stationwagon,27/11/2025,Canterbury
HEU449,Silver,Nissan,WINGROAD,2008,Stationwagon,20/11/2025,Canterbury
HEY364,Grey,Honda,FIT,2004,Hatchback,16/11/2025,Canterbury
HEZ554,Silver,Mazda,ATENZA,2007,Saloon,29/09/2025,Central
HFC996,Silver,Honda,ODYSSEY,2005,Stationwagon,17/11/2025,Auckland City
HFE540,Red,Ford,KUGA,2013,Stationwagon,17/10/2025,Central
HFG388,Blue,Mazda,ATENZA,2011,Stationwagon,26/08/2025,Northland
HFJ821,Silver,Mitsubishi,OUTLANDER,2013,Stationwagon,24/07/2025,Northland
HFM365,Black,Ford,FALCON UTE,2001,Utility,25/08/2025,Bay of Plenty
HFN9,Silver,Nissan,TIIDA,2005,Hatchback,5/08/2025,Canterbury
HFQ25,White,Great Wall,V200,2014,Utility,7/09/2025,Bay of Plenty
HFS84,Silver,Mitsubishi,OUTLANDER,2009,Stationwagon,12/07/2025,Auckland City
HFW453,Black,Holden,CRUZE,2014,Hatchback,23/07/2025,Counties/Manukau
HGA868,Silver,Toyota,WISH,2004,Stationwagon,4/09/2025,Counties/Manukau
HGC162,Silver,Mazda,DEMIO,2005,Hatchback,2/12/2025,Waikato
HGE262,White,Toyota,PRIUS,2008,Hatchback,25/10/2025,Canterbury
HGE787,Black,Mercedes-Benz,CLS 500,2005,Saloon,28/11/2025,Waikato
HGF513,Blue,Mazda,AXELA,2004,Hatchback,5/10/2025,Canterbury
HGT284,Blue,Mazda,AXELA,2003,Hatchback,22/08/2025,Wellington
HGW542,Black,Toyota,HILUX,2014,Utility,17/06/2025,Northland
HGZ439,Grey,BMW,320I,2006,Saloon,14/11/2025,Northland
HHB589,Black,Ford,MONDEO,2014,Hatchback,10/09/2025,Bay of Plenty
HHD884,Silver,Audi,A3,2011,Hatchback,17/10/2025,Central
HHE157,Silver,Toyota,WISH,2005,Stationwagon,7/10/2025,Counties/Manukau
HHL436,Blue,Isuzu,BIGHORN,1994,Stationwagon,15/09/2025,Wellington
HHP85,Silver,Mazda,ATENZA,2006,Saloon,5/07/2025,Wellington
HHY874,White,Toyota,ALPHARD,2004,Stationwagon,14/10/2025,Counties/Manukau
HJA281,Grey,Subaru,LEGACY,2005,Stationwagon,28/11/2025,Counties/Manukau
HJE436,Black,Toyota,VITZ,2008,Hatchback,22/09/2025,Waitemata
HJF207,Silver,Mazda,DEMIO,2007,Hatchback,29/11/2025,Canterbury
HJF228,Silver,Mazda,MPV,2004,Stationwagon,26/07/2025,Wellington
HJJ203,White,Ford,RANGER,2014,Utility,25/07/2025,Wellington
HJJ932,Grey,Volkswagen,GOLF,2014,Stationwagon,15/08/2025,Counties/Manukau
HJL203,Black,Nissan,MURANO,2005,Stationwagon,18/09/2025,Counties/Manukau
HJL618,Black,Toyota,MARKX,2005,Saloon,30/06/2025,Waitemata
HJN277,Red,Mazda,ATENZA,2006,Stationwagon,31/08/2025,Wellington
HJN824,Red,FOTON,TUNLAND,2014,Utility,28/09/2025,Bay of Plenty
HJP740,White,Toyota,VITZ,2007,Hatchback,26/06/2025,Canterbury
HJR731,Blue,Holden,BARINA,2014,Saloon,21/09/2025,Wellington
HJS503,Blue,Mazda,AXELA,2007,Hatchback,20/10/2025,Central
HJW366,White,Holden,COLORADO,2014,Utility,14/09/2025,Bay of Plenty
HKH945,Blue,Mazda,AXELA,2009,Hatchback,16/07/2025,Canterbury
HKJ758,Silver,Honda,CRV,2006,Stationwagon,27/09/2025,Waikato
HKL795,Silver,Suzuki,SWIFT,2006,Hatchback,11/06/2025,Waitemata
HKM123,Red,Ford,FIESTA,2014,Hatchback,25/11/2025,Waitemata
HKM686,Black,Chevrolet,SILVERADO PICKUP2500,1993,Utility,18/06/2025,Wellington
HKP919,White,Toyota,HIACE,2014,Light Van,4/10/2025,Wellington
HKY718,Black,Jeep,WRANGLER,2013,Stationwagon,18/07/2025,Auckland City
HLE766,White,Holden,CAPTIVA,2014,Stationwagon,12/08/2025,Bay of Plenty
HLF313,Yellow,Ford,TRANSIT,2008,Heavy Van,4/07/2025,Counties/Manukau
HLJ638,White,Mazda,MPV,2005,Stationwagon,26/06/2025,Waikato
HLL293,Black,Nissan,DUALIS,2007,Stationwagon,28/08/2025,Bay of Plenty
HLN381,Grey,Subaru,LEGACY,2006,Saloon,2/12/2025,Canterbury
HLS408,Silver,Honda,STREAM,2005,Stationwagon,7/07/2025,Bay of Plenty
HLT813,Black,Toyota,HILUX,1998,Stationwagon,7/10/2025,Canterbury
HLU116,Silver,Holden,CRUZE,2014,Saloon,7/10/2025,Bay of Plenty
HLU144,White,Ford,RANGER,2014,Utility,27/10/2025,Waikato
HLU364,White,Suzuki,SWIFT,2007,Hatchback,6/12/2025,Northland
HLU393,Grey,Nissan,ELGRAND,2007,Stationwagon,7/10/2025,Canterbury
HLW675,Silver,Nissan,TIIDA,2006,Saloon,22/11/2025,Counties/Manukau
HLY957,White,Toyota,HIACE,2007,Light Van,8/09/2025,Auckland City
HLY993,Green,John Deere,SURROUNDS MOWER,2013,Mobile Machine,24/09/2025,Canterbury
HLZ560,White,Fiat,DUCATO,2014,Light Van,29/07/2025,Counties/Manukau
HMD267,Grey,Toyota,HILUX,2014,Utility,1/12/2025,Counties/Manukau
HMH111,Silver,Mazda,ATENZA,2005,Stationwagon,20/07/2025,Counties/Manukau
HMK355,Red,Toyota,HILUX,2014,Utility,22/07/2025,Tasman
HMS389,Red,Toyota,HILUX,2014,Utility,20/10/2025,Counties/Manukau
HMT163,Gold,Nissan,TIIDA,2005,Hatchback,13/08/2025,Counties/Manukau
HNA208,Silver,Audi,A6,2005,Stationwagon,3/08/2025,Eastern
HNH764,White,Toyota,COROLLA,2014,Stationwagon,3/12/2025,Canterbury
HNJ286,Black,Nissan,DUALIS,2007,Stationwagon,24/09/2025,Wellington
HNL44,Silver,Toyota,COROLLA,2004,Stationwagon,23/08/2025,Canterbury
HNL754,Silver,Toyota,PASSO,2005,Hatchback,2/08/2025,Waitemata
HNP168,White,Toyota,HILUX,2014,Utility,25/08/2025,Waitemata
HNQ322,Silver,Toyota,WISH,2005,Stationwagon,14/11/2025,Counties/Manukau
HNQ529,Black,Toyota,WISH,2005,Stationwagon,1/10/2025,Counties/Manukau
HNU464,Red,Audi,A3,2006,Hatchback,27/09/2025,Northland
HNW823,Silver,Nissan,TIIDA,2007,Hatchback,25/11/2025,Waikato
HNY68,Silver,Toyota,MARKX,2006,Saloon,22/10/2025,Counties/Manukau
HONDA,Red,Honda,CRF 250,2025,Trail Bike,12/11/2025,Southern
HPB672,White,Nissan,CARAVAN,2009,Light Van,1/08/2025,Counties/Manukau
HPC806,Red,Mitsubishi,LANCER,2014,Saloon,4/10/2025,Counties/Manukau
HPH927,Silver,Honda,CIVIC,2004,Saloon,1/12/2025,Waikato
HPL510,Silver,Mitsubishi,LANCER,2006,Saloon,4/10/2025,Bay of Plenty
HPL648,Silver,Mercedes-Benz,C,2010,Saloon,29/10/2025,Auckland City
HPM425,White,Great Wall,V200,2014,Utility,11/11/2025,Northland
HPM95,White,Ford,RANGER,2014,Utility,18/11/2025,Central
HPY577,Silver,Toyota,MARKX,2005,Saloon,28/11/2025,Waikato
HQA125,Silver,Toyota,COROLLA,2014,Stationwagon,29/11/2025,Waitemata
HQA735,Silver,Nissan,TIIDA,2005,Hatchback,14/08/2025,Canterbury
HQC865,Cream,Kia,SPORTAGE,2014,Stationwagon,26/10/2025,Waikato
HQC963,White,Toyota,COROLLA,2014,Stationwagon,4/12/2025,Wellington
HQF938,Silver,Toyota,COROLLA,2006,Hatchback,26/11/2025,Counties/Manukau
HQJ271,Green,Mazda,DEMIO,2007,Hatchback,6/12/2025,Waitemata
HQK231,Grey,Toyota,WISH,2005,Stationwagon,27/10/2025,Counties/Manukau
HQL283,Silver,Ford,RANGER,2014,Utility,13/09/2025,Waikato
HQR11,Red,Toyota,COROLLA,2014,Stationwagon,3/10/2025,Waikato
HQS330,Blue,Mazda,CX-5,2014,Stationwagon,7/07/2025,Counties/Manukau
HQT502,Blue,Mazda,AXELA,2005,Hatchback,19/11/2025,Counties/Manukau
HQW779,Silver,Mazda,AXELA,2009,Hatchback,27/08/2025,Waikato
HRA459,White,Honda,ODYSSEY,2005,Stationwagon,28/08/2025,Counties/Manukau
HRF219,White,Mitsubishi,OUTLANDER,2009,Stationwagon,1/11/2025,Northland
HRN530,Black,Ford,FOCUS,2014,Stationwagon,18/07/2025,Counties/Manukau
HRN818,Blue,Toyota,WISH,2005,Stationwagon,6/07/2025,Auckland City
HRQ191,Black,Mercedes-Benz,S350L,2004,Saloon,18/07/2025,Counties/Manukau
HRT375,Silver,Holden,MALIBU,2014,Saloon,4/08/2025,Counties/Manukau
HRT741,White,Volvo,XC90,2004,Stationwagon,18/10/2025,Counties/Manukau
HRW309,Blue,Toyota,RACTIS,2005,Hatchback,1/12/2025,Auckland City
HRW609,Silver,Mazda,DEMIO,2004,Hatchback,7/08/2025,Eastern
HRW778,White,Toyota,WISH,2005,Stationwagon,25/10/2025,Auckland City
HSD598,Cream,Toyota,HILUX,1996,Stationwagon,20/11/2025,Auckland City
HSS673,Silver,Mitsubishi,OUTLANDER,2006,Stationwagon,15/11/2025,Bay of Plenty
HST305,Blue,Toyota,CAMRY,2004,Stationwagon,5/11/2025,Waikato
HST546,Blue,Toyota,PASSO,2005,Hatchback,24/10/2025,Counties/Manukau
HSY416,Blue,Nissan,WINGROAD,2006,Stationwagon,28/11/2025,Counties/Manukau
HTA656,Silver,Honda,STREAM,2004,Stationwagon,6/11/2025,Canterbury
HTF384,Silver,Toyota,WISH,2005,Stationwagon,17/09/2025,Auckland City
HTG989,Silver,Ford,KUGA,2014,Stationwagon,24/07/2025,Waikato
HTH601,Silver,Nissan,TIIDA,2005,Hatchback,27/11/2025,Counties/Manukau
HTJ130,Blue,Ford,RANGER,2007,Utility,19/06/2025,Bay of Plenty
HTK963,Gold,Nissan,TIIDA,2006,Saloon,31/07/2025,Waitemata
HTL376,Black,Chrysler,300,2006,Saloon,22/11/2025,Waitemata
HTM13,Black,Nissan,NAVARA,2007,Utility,10/09/2025,Central
HTN618,Red,Honda,MOBILIO,2004,Stationwagon,10/10/2025,Counties/Manukau
HTQ939,Silver,Nissan,VANETTE,2008,Light Van,3/12/2025,Wellington
HTT16,Silver,Mazda,ATENZA,2004,Stationwagon,28/09/2025,Wellington
HTT906,Blue,Nissan,NOTE,2007,Hatchback,1/12/2025,Counties/Manukau
HTY778,Purple,Honda,ODYSSEY,2007,Stationwagon,8/09/2025,Counties/Manukau
HUB124,White,Holden,CRUZE,2014,Saloon,9/10/2025,Counties/Manukau
HUB234,Blue,Ford,RANGER,2008,Utility,9/08/2025,Bay of Plenty
HUD618,Grey,Toyota,SUPRA,1994,Sports Car,20/10/2025,Wellington
HUD984,Black,Nissan,BLUEBIRD,2006,Saloon,28/11/2025,Counties/Manukau
HUK545,Red,Volkswagen,BEETLE,2004,Hatchback,15/06/2025,Counties/Manukau
HUL67,Silver,Nissan,NAVARA,2006,Utility,11/09/2025,Bay of Plenty
HUN400,White,Toyota,HILUX,2014,Utility,25/08/2025,Waikato
HWE4,Grey,Honda,FIT,2003,Hatchback,17/06/2025,Counties/Manukau
HWG225,Red,BMW,320I,2008,Saloon,28/11/2025,Waikato
HWH254,Silver,Nissan,TIIDA,2009,Saloon,8/06/2025,Canterbury
HWH743,Blue,Toyota,VITZ,2006,Hatchback,20/11/2025,Auckland City
HWN293,Cream,Toyota,RAUM,2005,Hatchback,25/07/2025,Counties/Manukau
HWN535,White,Mazda,DEMIO,2004,Hatchback,31/07/2025,Northland
HWR293,White,Toyota,RAUM,2005,Stationwagon,1/11/2025,Central
HWS923,Black,Mercedes-Benz,C350,2010,Saloon,28/07/2025,Bay of Plenty
HWT609,White,Nissan,TIIDA,2007,Saloon,22/09/2025,Bay of Plenty
HWU34,Grey,Mazda,DEMIO,2007,Hatchback,29/09/2025,Tasman
HWZ309,White,Toyota,HILUX,2015,Utility,29/10/2025,Canterbury
HWZ476,White,Nissan,PATROL,2011,Utility,20/06/2025,Bay of Plenty
HWZ884,Grey,Toyota,COROLLA,2006,Hatchback,14/08/2025,Waikato
HYA636,Red,Nissan,TIIDA,2004,Hatchback,3/08/2025,Northland
HYA805,Orange,Hyundai,IX35,2015,Stationwagon,11/08/2025,Central
HYG434,Silver,Toyota,WISH,2006,Stationwagon,12/11/2025,Counties/Manukau
HYQ376,White,BMW,X5,2007,Stationwagon,3/11/2025,Counties/Manukau
HYU100,Black,Hyundai,TERRACAN,2004,Stationwagon,28/11/2025,Waikato
HYW136,Blue,BMW,118I,2013,Hatchback,29/10/2025,Canterbury
HZD750,Silver,Ford,RANGER,2015,Utility,29/08/2025,Bay of Plenty
HZG80,Brown,Mazda,DEMIO,2006,Hatchback,10/08/2025,Counties/Manukau
HZL380,Blue,Audi,A3,2006,Hatchback,14/11/2025,Waitemata
HZM514,Silver,Toyota,ALLION,2006,Saloon,15/07/2025,Counties/Manukau
HZM648,Red,Ford,RANGER,2015,Utility,17/09/2025,Waikato
HZR986,Silver,Toyota,VITZ,2007,Hatchback,28/11/2025,Waitemata
HZS697,Silver,Nissan,BLUEBIRD,2006,Saloon,14/11/2025,Eastern
HZT491,Gold,Nissan,DUALIS,2007,Stationwagon,30/11/2025,Northland
HZU612,Grey,Mazda,AXELA,2010,Hatchback,10/06/2025,Canterbury
HZZ263,White,Dodge,JOURNEY,2015,Stationwagon,4/08/2025,Waikato
HZZ294,White,Great Wall,V240,2015,Utility,17/07/2025,Bay of Plenty
IA9530,Blue,Datsun,120A,1978,Saloon,22/06/2025,Bay of Plenty
IBHNGU,Yellow,Ford,MUSTANG,2016,Convertible,1/10/2025,Counties/Manukau
J375B,Silver,Trailer,GIBBONS,2006,Trailer,17/07/2025,Waikato
J684Z,Grey,Trailer,DAYTECH,2007,Trailer,21/08/2025,Waikato
J806Z,Silver,Trailer,6X4,2007,Trailer,5/09/2025,Counties/Manukau
J866Y,Silver,Pinto,SPECIAL,2007,Trailer,1/12/2025,Auckland City
JAA689,Silver,Nissan,DUALIS,2008,Stationwagon,8/09/2025,Bay of Plenty
JAB504,Red,Toyota,HILUX,2015,Utility,5/11/2025,Central
JAC349,Black,BMW,M5,2012,Saloon,9/10/2025,Counties/Manukau
JAE47,Silver,Toyota,HILUX,2015,Utility,13/10/2025,Auckland City
JAG555,Silver,Nissan,TIIDA,2008,Hatchback,23/11/2025,Counties/Manukau
JAJ893,Blue,Ford,RANGER,2015,Utility,1/10/2025,Eastern
JAL737,Blue,BMW,120I,2005,Hatchback,14/06/2025,Southern
JAR475,Silver,Mazda,DEMIO,2006,Hatchback,2/08/2025,Waitemata
JAR870,White,Toyota,CALDINA,2005,Stationwagon,26/10/2025,Waitemata
JATLOK,Black,Dodge,CHALLENGER,2012,Saloon,16/11/2025,Counties/Manukau
JATTVD,White,Mercedes-Benz,C300,2008,Saloon,24/09/2025,Counties/Manukau
JBB290,White,Toyota,WISH,2006,Stationwagon,10/09/2025,Counties/Manukau
JBB347,Grey,Toyota,WISH,2005,Stationwagon,7/10/2025,Counties/Manukau
JBD448,Black,Ford,FOCUS,2015,Stationwagon,5/12/2025,Wellington
JBG466,Silver,Ford,RANGER,2015,Utility,6/12/2025,Canterbury
JBJ154,Silver,Audi,A4,2006,Saloon,10/07/2025,Central
JBK724,Red,Toyota,AURIS,2006,Hatchback,17/08/2025,Waikato
JBN18,Silver,Nissan,PULSAR,2015,Hatchback,1/09/2025,Counties/Manukau
JBR836,White,Toyota,HIACE,2010,Light Van,18/08/2025,Waikato
JBT550,White,Mazda,AXELA,2007,Saloon,22/06/2025,Northland
JBT860,Silver,Subaru,IMPREZA,2003,Hatchback,16/06/2025,Canterbury
JBW229,Grey,Mazda,MPV,2005,Stationwagon,24/10/2025,Central
JBZ3,Black,Nissan,CUBE,2007,Hatchback,8/08/2025,Bay of Plenty
JBZ8,Grey,Mazda,MPV,2007,Stationwagon,8/11/2025,Eastern
JCJ398,Red,Toyota,COROLLA,2005,Hatchback,11/11/2025,Counties/Manukau
JCM26,Silver,Ford,TERRITORY,2015,Stationwagon,30/07/2025,Bay of Plenty
JCN910,White,Hyundai,ILOAD,2015,Light Van,30/10/2025,Waitemata
JCP409,Grey,Mazda,BT-50,2015,Utility,16/06/2025,Eastern
JCT62,Black,Holden,COMMODORE,2014,Utility,25/08/2025,Wellington
JCT732,Black,Toyota,HIACE,2010,Light Van,19/09/2025,Central
JDF479,Silver,Honda,CIVIC,2004,Saloon,26/06/2025,Counties/Manukau
JDF486,Silver,Nissan,TIIDA,2006,Hatchback,13/09/2025,Counties/Manukau
JDG693,Blue,Toyota,AVENSIS,2006,Stationwagon,15/10/2025,Wellington
JDJ457,Grey,Toyota,CAMRY,2015,Saloon,11/08/2025,Waikato
JDK546,White,Ford,FOCUS,2015,Hatchback,5/11/2025,Waitemata
JDT233,Grey,Toyota,WISH,2006,Stationwagon,4/12/2025,Counties/Manukau
JDW906,Silver,Toyota,VITZ,2004,Hatchback,27/11/2025,Waitemata
JDY238,Silver,Volvo,V60,2011,Saloon,27/11/2025,Counties/Manukau
JDY866,Grey,Mazda,ATENZA,2008,Hatchback,13/11/2025,Waikato
JEB372,Blue,Honda,FIT,2008,Hatchback,3/10/2025,Central
JEH568,Silver,Toyota,MARKX,2006,Saloon,8/08/2025,Counties/Manukau
JEH801,Gold,Nissan,TIIDA,2005,Hatchback,10/06/2025,Waikato
JEJ310,White,Holden,TRAX,2015,Stationwagon,15/10/2025,Counties/Manukau
JEJ968,Grey,Nissan,JUKE,2012,Stationwagon,16/10/2025,Waitemata
JEM189,Red,Honda,STREAM,2006,Stationwagon,2/08/2025,Counties/Manukau
JEM466,Grey,Subaru,IMPREZA,2008,Stationwagon,27/10/2025,Northland
JEP532,Red,Mazda,MPV,2006,Stationwagon,15/10/2025,Canterbury
JEQ273,Gold,Ford,TERRITORY,2014,Stationwagon,22/10/2025,Central
JES745,Black,Suzuki,SOLIO,2006,Hatchback,3/11/2025,Counties/Manukau
JES869,Blue,Mazda,ATENZA,2008,Stationwagon,7/11/2025,Bay of Plenty
JFD11,Black,Toyota,WISH,2004,Stationwagon,8/11/2025,Counties/Manukau
JFJ666,Grey,Nissan,NAVARA,2015,Utility,24/06/2025,Bay of Plenty
JFK194,Red,Mazda,ATENZA,2004,Stationwagon,8/09/2025,Waitemata
JFK539,White,Suzuki,SWIFT,2010,Hatchback,4/08/2025,Canterbury
JFK590,Grey,Mitsubishi,TRITON,2015,Utility,22/07/2025,Northland
JFK718,White,Mazda,ATENZA,2006,Saloon,14/07/2025,Bay of Plenty
JFM277,White,Nissan,NAVARA,2015,Utility,5/09/2025,Auckland City
JFM76,Yellow,Nissan,MARCH,2006,Hatchback,27/11/2025,Counties/Manukau
JFR309,Silver,Ford,RANGER,2015,Utility,20/11/2025,Northland
JFT632,Black,Suzuki,SWIFT,2006,Hatchback,4/12/2025,Waitemata
JGB410,Grey,Mazda,DEMIO,2006,Hatchback,5/12/2025,Wellington
JGB824,Silver,Toyota,PLATZ,2004,Saloon,1/11/2025,Bay of Plenty
JGD614,Silver,Mazda,MPV,2005,Stationwagon,7/11/2025,Waitemata
JGE223,Black,Toyota,VOXY,2005,Stationwagon,2/11/2025,Counties/Manukau
JGG146,Black,Mazda,AXELA,2008,Hatchback,17/08/2025,Waitemata
JGG242,Silver,Toyota,WISH,2006,Stationwagon,11/08/2025,Wellington
JGK415,Silver,Toyota,WISH,2006,Stationwagon,12/07/2025,Counties/Manukau
JGM731,Blue,Mazda,CX-5,2015,Stationwagon,28/07/2025,Eastern
JGR244,White,Nissan,NAVARA,2015,Utility,28/06/2025,Waitemata
JGS341,Black,Subaru,FORESTER,2005,Stationwagon,29/06/2025,Canterbury
JGU474,Red,Mazda,VERISA,2005,Hatchback,24/07/2025,Wellington
JGW906,Black,Toyota,WISH,2005,Stationwagon,13/08/2025,Wellington
JHA700,Grey,Ford,RANGER,2015,Utility,9/06/2025,Eastern
JHD379,Grey,Toyota,HIACE,2010,Light Van,25/07/2025,Wellington
JHD925,Black,Subaru,FORESTER,2006,Stationwagon,17/06/2025,Central
JHF287,Silver,Subaru,LEGACY,2004,Saloon,18/10/2025,Counties/Manukau
JHK995,Blue,Subaru,LEGACY,2001,Stationwagon,30/11/2025,Wellington
JHP604,Black,Mini,COOPER S,2008,Hatchback,10/07/2025,Counties/Manukau
JHR171,Black,FOTON,TUNLAND,2015,Utility,12/11/2025,Counties/Manukau
JHT10,Red,Toyota,HIACE,2015,Light Van,15/06/2025,Wellington
JJA695,Red,Mazda,ATENZA,2006,Saloon,14/06/2025,Waikato
JJB911,Silver,Toyota,MARKX,2007,Saloon,23/10/2025,Central
JJC452,Red,Alfa Romeo,159,2008,Hatchback,11/08/2025,Canterbury
JJD357,Red,Mazda,MAZDA3,2010,Hatchback,2/08/2025,Counties/Manukau
JJE564,Grey,Toyota,RAV4,2015,Stationwagon,14/08/2025,Waitemata
JJE804,Silver,Toyota,ALLION,2005,Saloon,30/08/2025,Waikato
JJE84,Blue,Toyota,RAV4,1994,Stationwagon,2/12/2025,Wellington
JJF684,White,Nissan,ATLAS,2010,Other Truck,17/07/2025,Waitemata
JJF773,Silver,Toyota,WISH,2006,Stationwagon,22/07/2025,Wellington
JJG812,Silver,Nissan,TIIDA,2008,Hatchback,27/08/2025,Canterbury
JJM826,White,Subaru,LEGACY,2006,Stationwagon,18/06/2025,Wellington
JJN820,Black,Toyota,KLUGER,2006,Stationwagon,10/11/2025,Bay of Plenty
JJP98,Blue,Nissan,WINGROAD,2006,Stationwagon,4/07/2025,Counties/Manukau
JJW175,White,Toyota,PRIUS,2010,Hatchback,16/09/2025,Counties/Manukau
JJW369,Silver,Toyota,CALDINA,2005,Stationwagon,5/12/2025,Eastern
JJY165,White,Toyota,YARIS,2015,Hatchback,5/12/2025,Canterbury
JKA258,Blue,Lexus,IS250,2006,Saloon,7/07/2025,Northland
JKA406,Grey,Mazda,AXELA,2007,Hatchback,9/08/2025,Canterbury
JKC961,Gold,Nissan,TIIDA,2004,Saloon,23/08/2025,Counties/Manukau
JKD301,Grey,Mazda,AXELA,2007,Hatchback,16/10/2025,Waikato
JKH503,White,Ford,COURIER,2002,Utility,21/06/2025,Wellington
JKK355,White,Lexus,IS350,2006,Saloon,13/11/2025,Eastern
JKN49,Grey,Mazda,PREMACY,2008,Stationwagon,13/08/2025,Canterbury
JKS270,Grey,Suzuki,SWIFT,2006,Hatchback,19/09/2025,Waitemata
JKT257,Grey,Toyota,WISH,2004,Stationwagon,24/11/2025,Auckland City
JKU941,Gold,Nissan,TIIDA,2005,Hatchback,7/08/2025,Waitemata
JKW123,Red,Ford,COURIER,2004,Utility,28/09/2025,Northland
JKY38,Grey,Toyota,LANDCRUISER,1995,Stationwagon,29/06/2025,Canterbury
JKY500,Grey,Mazda,BT-50,2015,Utility,12/10/2025,Eastern
JKY748,Black,Kia,RIO,2015,Hatchback,26/11/2025,Wellington
JLN56,Black,Holden,COLORADO,2015,Utility,21/06/2025,Bay of Plenty
JLQ15,Silver,Mazda,BT-50,2007,Utility,14/08/2025,Waitemata
JLQ653,Grey,Honda,CIVIC,1991,Stationwagon,15/08/2025,Southern
JLS268,Black,Subaru,LEGACY,2006,Saloon,9/10/2025,Canterbury
JLU665,Silver,Nissan,TIIDA,2010,Saloon,7/11/2025,Wellington
JM634,Yellow,Mitsubishi,MIRAGE GL,1980,Saloon,20/06/2025,Wellington
JMB110,White,Toyota,RUSH,2006,Stationwagon,15/09/2025,Counties/Manukau
JME429,Blue,Mazda,AXELA,2006,Stationwagon,5/07/2025,Waitemata
JME588,Silver,Suzuki,SWIFT,2015,Hatchback,10/11/2025,Canterbury
JMK377,Black,Volkswagen,POLO,2015,Hatchback,17/07/2025,Auckland City
JMK806,Silver,Holden,COLORADO,2010,Utility,28/09/2025,Auckland City
JML178,White,Subaru,IMPREZA,2007,Stationwagon,27/11/2025,Waitemata
JML672,White,Toyota,HIACE,2015,Light Van,28/10/2025,Canterbury
JMQ106,Silver,Mazda,BOUNTY,2004,Utility,29/08/2025,Counties/Manukau
JMQ360,White,Mercedes-Benz,GL-CLASS,2015,Stationwagon,14/07/2025,Counties/Manukau
JMW421,Brown,Toyota,LANDCRUISER PRADO,2003,Stationwagon,24/10/2025,Bay of Plenty
JNB616,White,BMW,116I,2010,Hatchback,31/10/2025,Auckland City
JNC956,Blue,Nissan,TEANA,2004,Saloon,22/09/2025,Central
JNG129,Grey,Mazda,AXELA,2005,Hatchback,12/06/2025,Bay of Plenty
JNG833,Grey,Toyota,WISH,2004,Stationwagon,17/10/2025,Counties/Manukau
JNH999,Grey,Nissan,NAVARA,2016,Utility,12/08/2025,Waikato
JNR468,White,FOTON,TUNLAND,2016,Utility,14/07/2025,Eastern
JNW941,Silver,Audi,A4,2004,Convertible,13/06/2025,Northland
JNY364,Grey,Ford,MUSTANG,2016,Sports Car,15/07/2025,Counties/Manukau
JNY761,White,Toyota,WISH,2004,Stationwagon,26/10/2025,Counties/Manukau
JNZ131,Grey,Mazda,MPV,2007,Stationwagon,24/07/2025,Counties/Manukau
JON2U,Grey,Toyota,LANDCRUISER,1990,Stationwagon,5/11/2025,Tasman
JPA888,Silver,Mercedes-Benz,B200,2008,Hatchback,16/10/2025,Counties/Manukau
JPJ811,Blue,Holden,COMMODORE,2016,Stationwagon,11/11/2025,Waikato
JPM831,White,Toyota,HILUX,2016,Utility,2/10/2025,Eastern
JPN20,Green,Mazda,PREMACY,2005,Stationwagon,11/09/2025,Central
JPN302,Red,Jaguar,X-TYPE,2005,Saloon,26/08/2025,Waitemata
JPN571,Black,Subaru,LEGACY,2006,Saloon,24/11/2025,Canterbury
JPP846,Black,Toyota,COROLLA,2005,Stationwagon,22/08/2025,Northland
JPQ866,White,BMW,525I,2006,Saloon,8/11/2025,Auckland City
JPU430,Silver,Nissan,WINGROAD,2006,Stationwagon,19/09/2025,Auckland City
JPY607,Grey,Mitsubishi,RVR,2010,Stationwagon,7/10/2025,Canterbury
JPZ747,Pink,Honda,FIT,2004,Hatchback,7/08/2025,Counties/Manukau
JQA194,Red,Toyota,HIACE,2004,Light Van,2/09/2025,Counties/Manukau
JQB375,Black,Toyota,HARRIER,2005,Stationwagon,7/11/2025,Eastern
JQE827,Black,Volkswagen,TOUAREG,2016,Stationwagon,26/10/2025,Northland
JQJ33,Silver,Toyota,WISH,2006,Stationwagon,26/11/2025,Counties/Manukau
JQJ619,Silver,Nissan,WINGROAD,2006,Stationwagon,23/06/2025,Auckland City
JQM131,White,BMW,120I,2008,Hatchback,7/07/2025,Bay of Plenty
JQM470,White,Nissan,TIIDA,2008,Hatchback,3/07/2025,Auckland City
JQM615,Silver,Toyota,COROLLA,2006,Hatchback,28/07/2025,Counties/Manukau
JQR51,Red,Nissan,JUKE,2011,Hatchback,9/11/2025,Waikato
JQR54,White,Volkswagen,GOLF,2009,Stationwagon,20/11/2025,Counties/Manukau
JQT576,White,Mitsubishi,TRITON,2005,Utility,18/10/2025,Bay of Plenty
JQW146,Black,Mercedes-Benz,C63,2010,Stationwagon,16/06/2025,Waitemata
JRA204,White,Mitsubishi,TRITON,2016,Utility,6/11/2025,Northland
JRB419,White,Volvo,V40,2016,Hatchback,26/09/2025,Wellington
